attribute,country,value,entity_code,income_group,econ_region,geo_region
"Quality of math and science education, 1-7 (best)",Cyprus,4.142452,CYP,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Cyprus,4.499351,CYP,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Cyprus,75.90036,CYP,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Cyprus,33.030838,CYP,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Cyprus,188.9045,CYP,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Czech Republic,4.911623,CZE,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Czech Republic,98.91087,CZE,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Czech Republic,3.7827733,CZE,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Czech Republic,4.5269737,CZE,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Czech Republic,5.3468094,CZE,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Czech Republic,76.4812,CZE,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Czech Republic,27.650877,CZE,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Czech Republic,180.69661,CZE,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Denmark,4.8310723,DNK,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Denmark,98.35107,DNK,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Denmark,4.9901857,DNK,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Denmark,5.3496556,DNK,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Denmark,5.8628883,DNK,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Denmark,96.96779,DNK,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Denmark,42.75318,DNK,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Denmark,239.87402,DNK,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Dominican Republic,2.680424,DOM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Dominican Republic,86.88507,DOM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Dominican Republic,2.540631,DOM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Dominican Republic,2.5534072,DOM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Dominican Republic,3.4780254,DOM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Dominican Republic,61.32819,DOM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Dominican Republic,6.474212,DOM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Dominican Republic,22.061146,DOM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Ecuador,3.6281621,ECU,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Ecuador,97.96529,ECU,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Ecuador,3.3845408,ECU,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Ecuador,3.5930665,ECU,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Ecuador,4.0721526,ECU,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Ecuador,54.062923,ECU,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Ecuador,9.739068,ECU,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Ecuador,43.677147,ECU,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Egypt,2.4375,EGY,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Egypt,98.0285,EGY,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Egypt,2.4646466,EGY,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Egypt,2.7708333,EGY,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Egypt,3.1979167,EGY,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Egypt,39.213814,EGY,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Egypt,5.196121,EGY,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Egypt,17.193521,EGY,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",El Salvador,2.5808103,SLV,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",El Salvador,91.24263,SLV,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",El Salvador,2.302064,SLV,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",El Salvador,2.6373756,SLV,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",El Salvador,3.2215154,SLV,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",El Salvador,28.997072,SLV,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,El Salvador,6.007803,SLV,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",El Salvador,63.62163,SLV,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Estonia,5.826168,EST,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Estonia,94.70196,EST,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Estonia,4.6699977,EST,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Estonia,5.5204844,EST,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Estonia,5.9687247,EST,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Estonia,87.237335,EST,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Estonia,31.067625,EST,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Estonia,210.79771,EST,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Ethiopia,3.0784137,ETH,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Ethiopia,85.58775,ETH,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Ethiopia,3.4916613,ETH,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Ethiopia,3.3863058,ETH,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Ethiopia,3.5496516,ETH,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Ethiopia,15.366924,ETH,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Ethiopia,0.55124134,ETH,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Ethiopia,2.2423491,ETH,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Finland,6.737173,FIN,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Finland,99.55969,FIN,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Finland,5.8066697,FIN,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Finland,6.192046,FIN,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Finland,5.909881,FIN,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Finland,87.70365,FIN,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Finland,31.217728,FIN,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Finland,216.39139,FIN,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",France,4.691414,FRA,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",France,98.84784,FRA,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",France,4.3047385,FRA,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",France,5.118861,FRA,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",France,4.8244224,FRA,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",France,85.6222,FRA,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,France,42.354164,FRA,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",France,97.653175,FRA,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)","Gambia, The",4.1961064,GMB,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %","Gambia, The",74.78043,GMB,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)","Gambia, The",4.380789,GMB,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)","Gambia, The",3.3737297,GMB,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)","Gambia, The",4.0758862,GMB,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %","Gambia, The",18.5,GMB,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,"Gambia, The",0.18449059,GMB,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user","Gambia, The",13.296619,GMB,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Georgia,3.1322956,GEO,Upper middle income,Commonwealth of Independent States,Eurasia
"Primary education enrollment, net %",Georgia,99.00432,GEO,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of the education system, 1-7 (best)",Georgia,3.0247834,GEO,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of math and science education, 1-7 (best)",Georgia,3.3385646,GEO,Upper middle income,Commonwealth of Independent States,Eurasia
"Internet access in schools, 1-7 (best)",Georgia,4.144716,GEO,Upper middle income,Commonwealth of Independent States,Eurasia
"Individuals using Internet, %",Georgia,50.001637,GEO,Upper middle income,Commonwealth of Independent States,Eurasia
Fixed broadband Internet subscriptions/100 pop.,Georgia,15.810811,GEO,Upper middle income,Commonwealth of Independent States,Eurasia
"Int’l Internet bandwidth, kb/s per user",Georgia,92.14524,GEO,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of primary education, 1-7 (best)",Germany,5.2862463,DEU,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Germany,98.6795,DEU,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Germany,5.3715,DEU,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Germany,5.2834115,DEU,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Germany,5.163355,DEU,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Germany,89.6471,DEU,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Germany,38.05448,DEU,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Germany,107.4885,DEU,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Ghana,3.396599,GHA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Ghana,87.41091,GHA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Ghana,4.080833,GHA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Ghana,3.6523721,GHA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Ghana,3.8373923,GHA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Ghana,34.666,GHA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Ghana,0.31452793,GHA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Ghana,9.8509445,GHA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Greece,3.8810978,GRC,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Greece,96.28168,GRC,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Greece,3.046965,GRC,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Greece,4.38984,GRC,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Greece,3.6008487,GRC,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Greece,69.08791,GRC,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Greece,32.509212,GRC,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Greece,68.69783,GRC,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Guatemala,2.5536644,GTM,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Guatemala,85.45007,GTM,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Guatemala,2.6133823,GTM,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Guatemala,2.5797594,GTM,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Guatemala,3.4545362,GTM,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Guatemala,34.509327,GTM,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Guatemala,3.0384045,GTM,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Guatemala,24.021564,GTM,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Guinea,3.0615385,GIN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Guinea,75.65523,GIN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Guinea,2.6153846,GIN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Guinea,3.1076922,GIN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Guinea,2.3174603,GIN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Guinea,9.8,GIN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Guinea,0.008691392,GIN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Guinea,0.58936995,GIN,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Honduras,3.1155312,HND,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Honduras,93.03652,HND,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Honduras,3.192922,HND,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Honduras,3.0842516,HND,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Honduras,3.579398,HND,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Honduras,30.0,HND,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Honduras,2.5627286,HND,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Honduras,33.443012,HND,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Hong Kong SAR,5.244186,HKG,High income,Advanced economies,East Asia and Pacific
"Primary education enrollment, net %",Hong Kong SAR,94.649,HKG,High income,Advanced economies,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Hong Kong SAR,4.744186,HKG,High income,Advanced economies,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Hong Kong SAR,5.4606743,HKG,High income,Advanced economies,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Hong Kong SAR,5.6976743,HKG,High income,Advanced economies,East Asia and Pacific
"Individuals using Internet, %",Hong Kong SAR,87.30035,HKG,High income,Advanced economies,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Hong Kong SAR,35.46104,HKG,High income,Advanced economies,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Hong Kong SAR,4906.023,HKG,High income,Advanced economies,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Hungary,3.542735,HUN,High income,Emerging and Developing Europe,Europe and North America
"Primary education enrollment, net %",Hungary,90.60597,HUN,High income,Emerging and Developing Europe,Europe and North America
"Quality of the education system, 1-7 (best)",Hungary,2.9102714,HUN,High income,Emerging and Developing Europe,Europe and North America
"Quality of math and science education, 1-7 (best)",Hungary,3.8947766,HUN,High income,Emerging and Developing Europe,Europe and North America
"Internet access in schools, 1-7 (best)",Hungary,3.629818,HUN,High income,Emerging and Developing Europe,Europe and North America
"Individuals using Internet, %",Hungary,79.2594,HUN,High income,Emerging and Developing Europe,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Hungary,28.459293,HUN,High income,Emerging and Developing Europe,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Hungary,154.76479,HUN,High income,Emerging and Developing Europe,Europe and North America
"Quality of primary education, 1-7 (best)",Iceland,5.3836927,ISL,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Iceland,99.05151,ISL,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Iceland,5.233927,ISL,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Iceland,4.881777,ISL,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Iceland,6.1419888,ISL,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Iceland,98.24001,ISL,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Iceland,37.61897,ISL,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Iceland,997.8299,ISL,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",India,4.4610915,IND,Lower middle income,Emerging and Developing Asia,South Asia
"Primary education enrollment, net %",India,92.25846,IND,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of the education system, 1-7 (best)",India,4.617533,IND,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of math and science education, 1-7 (best)",India,4.603163,IND,Lower middle income,Emerging and Developing Asia,South Asia
"Internet access in schools, 1-7 (best)",India,4.5524645,IND,Lower middle income,Emerging and Developing Asia,South Asia
"Individuals using Internet, %",India,29.547163,IND,Lower middle income,Emerging and Developing Asia,South Asia
Fixed broadband Internet subscriptions/100 pop.,India,1.4442848,IND,Lower middle income,Emerging and Developing Asia,South Asia
"Int’l Internet bandwidth, kb/s per user",India,15.956282,IND,Lower middle income,Emerging and Developing Asia,South Asia
"Quality of primary education, 1-7 (best)",Indonesia,4.483694,IDN,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Primary education enrollment, net %",Indonesia,89.7373,IDN,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Indonesia,4.432897,IDN,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Indonesia,4.577421,IDN,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Indonesia,4.786284,IDN,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Individuals using Internet, %",Indonesia,25.3663,IDN,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Indonesia,1.894337,IDN,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Indonesia,24.946886,IDN,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of primary education, 1-7 (best)","Iran, Islamic Rep.",3.9999063,IRN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %","Iran, Islamic Rep.",99.16791,IRN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)","Iran, Islamic Rep.",3.2652757,IRN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)","Iran, Islamic Rep.",4.529565,IRN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)","Iran, Islamic Rep.",3.6646776,IRN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %","Iran, Islamic Rep.",53.226772,IRN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,"Iran, Islamic Rep.",11.582055,IRN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user","Iran, Islamic Rep.",15.237532,IRN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Ireland,5.6268396,IRL,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Ireland,95.03199,IRL,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Ireland,5.4243236,IRL,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Ireland,5.1522217,IRL,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Ireland,5.053424,IRL,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Ireland,82.1697,IRL,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Ireland,28.482574,IRL,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Ireland,183.94261,IRL,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Israel,4.6590643,ISR,High income,Advanced economies,Middle East and North Africa
"Primary education enrollment, net %",Israel,97.20388,ISR,High income,Advanced economies,Middle East and North Africa
"Quality of the education system, 1-7 (best)",Israel,4.6377153,ISR,High income,Advanced economies,Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Israel,4.8439784,ISR,High income,Advanced economies,Middle East and North Africa
"Internet access in schools, 1-7 (best)",Israel,5.3957744,ISR,High income,Advanced economies,Middle East and North Africa
"Individuals using Internet, %",Israel,79.77879,ISR,High income,Advanced economies,Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Israel,28.126995,ISR,High income,Advanced economies,Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Israel,158.69629,ISR,High income,Advanced economies,Middle East and North Africa
"Quality of primary education, 1-7 (best)",Italy,4.7592106,ITA,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Italy,97.19497,ITA,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Italy,3.7128634,ITA,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Italy,4.6021304,ITA,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Italy,4.16169,ITA,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Italy,61.324253,ITA,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Italy,25.425606,ITA,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Italy,82.33547,ITA,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Jamaica,4.3156033,JAM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Jamaica,98.0,JAM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Jamaica,4.1324863,JAM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Jamaica,4.031737,JAM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Jamaica,4.466983,JAM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Jamaica,45.0,JAM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Jamaica,10.118779,JAM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Jamaica,47.948624,JAM,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Japan,5.4472356,JPN,High income,Advanced economies,East Asia and Pacific
"Primary education enrollment, net %",Japan,99.95001,JPN,High income,Advanced economies,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Japan,4.3842716,JPN,High income,Advanced economies,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Japan,5.1038523,JPN,High income,Advanced economies,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Japan,5.2260175,JPN,High income,Advanced economies,East Asia and Pacific
"Individuals using Internet, %",Japan,92.0,JPN,High income,Advanced economies,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Japan,31.471218,JPN,High income,Advanced economies,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Japan,83.01025,JPN,High income,Advanced economies,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Jordan,4.1337814,JOR,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Jordan,89.19845,JOR,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Jordan,4.230123,JOR,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Jordan,4.252223,JOR,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Jordan,4.4280047,JOR,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Jordan,62.302193,JOR,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Jordan,5.8388243,JOR,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Jordan,8.22876,JOR,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Kazakhstan,4.0190845,KAZ,Upper middle income,Commonwealth of Independent States,Eurasia
